open: ,16.100000000000001,    high: ,16.850000000000001,   low: ,15.949999999999999,  yester close: ,1.089596, volume: ,76939800,up
open: ,16.920000000000002,    high: ,17.739999999999998,   low: ,16.850000000000001,  yester close: ,1.1491930000000001, volume: ,83540800,up
open: ,17.310001,    high: ,18.079999999999998,   low: ,16.859999999999999,  yester close: ,1.1666840000000001, volume: ,71953000,down
open: ,17.949999999999999,    high: ,18.379999999999999,   low: ,17.949999999999999,  yester close: ,1.1653879999999999, volume: ,79688000,up
open: ,18.09,    high: ,18.199998999999998,   low: ,17.77,  yester close: ,1.1666840000000001, volume: ,50737400,down
open: ,18.339998999999999,    high: ,18.410001000000001,   low: ,16.959999,  yester close: ,1.100608, volume: ,71384600,up
open: ,17.289999999999999,    high: ,18.23,   low: ,17.289999999999999,  yester close: ,1.1660360000000001, volume: ,153143200,up
open: ,17.940000000000001,    high: ,18.400001,   low: ,17.879999999999999,  yester close: ,1.18547, volume: ,41697600,up
open: ,18.210000000000001,    high: ,19.069998999999999,   low: ,18.09,  yester close: ,1.232111, volume: ,97984600,down
open: ,19.120000000000001,    high: ,19.420000999999999,   low: ,17.870000000000001,  yester close: ,1.1751049999999998, volume: ,171245200,up
open: ,18.059998999999998,    high: ,19.09,   low: ,17.750001000000001,  yester close: ,1.2275770000000001, volume: ,93606800,up
open: ,18.440000000000001,    high: ,19.25,   low: ,18.16,  yester close: ,1.2431239999999999, volume: ,63737800,down
open: ,18.859998999999998,    high: ,19.25,   low: ,18.620001000000002,  yester close: ,1.209438, volume: ,69741000,down
open: ,18.569998999999999,    high: ,18.670000000000002,   low: ,17.600001000000002,  yester close: ,1.1420669999999999, volume: ,59795400,down
open: ,17.380001,    high: ,18.0,   low: ,17.059999999999999,  yester close: ,1.1401239999999999, volume: ,69190800,down
open: ,17.73,    high: ,18.400001,   low: ,17.440000000000001,  yester close: ,1.1375329999999999, volume: ,68437600,up
open: ,17.649999999999999,    high: ,18.779999,   low: ,17.249998999999999,  yester close: ,1.204256, volume: ,78248800,down
open: ,18.52,    high: ,18.859998999999998,   low: ,18.16,  yester close: ,1.20296, volume: ,49301000,up
open: ,18.840001000000001,    high: ,19.25,   low: ,18.609999999999999,  yester close: ,1.2353499999999999, volume: ,58948400,up
open: ,18.960000000000001,    high: ,19.620000000000001,   low: ,18.530000000000001,  yester close: ,1.2677399999999999, volume: ,79004800,up
open: ,19.460000000000001,    high: ,20.129999999999999,   low: ,19.329999999999998,  yester close: ,1.2690360000000001, volume: ,95747400,down
open: ,19.629999999999999,    high: ,19.890000000000001,   low: ,18.569998999999999,  yester close: ,1.2120299999999999, volume: ,85535800,down
